,"PLAYER, TEAM POS",team_abbr,week_2_opp,week_2_proj,week_2_actual,week_3_opp,week_3_proj,binned,score_sentiment
0,Jets D/ST D/ST,NYJ,Mia,4.9,10,Cle,5.2,"(4.365, 8.265]",Neutral
1,Vikings D/ST D/ST,Min,GB,6.4,2,Buf,13.2,"(10.732, 13.7]",Terrible
2,Ravens D/ST D/ST,Bal,Cin,6.1,-2,Den,6.7,"(4.365, 8.265]",Neutral
3,Rams D/ST D/ST,LAR,Ari,7.6,11,LAC,6.8,"(4.365, 8.265]",Neutral
4,Bears D/ST D/ST,Chi,Sea,5.9,19,Ari,6.5,"(4.365, 8.265]",Neutral
5,Panthers D/ST D/ST,Car,Atl,5.1,-2,Cin,6.6,"(4.365, 8.265]",Neutral
6,Jaguars D/ST D/ST,Jac,NE,5.7,4,Ten,8.7,"(8.265, 10.732]",Concerned
7,Broncos D/ST D/ST,Den,Oak,5.7,2,Bal,5.9,"(4.365, 8.265]",Neutral
8,Dolphins D/ST D/ST,Mia,NYJ,7.1,11,Oak,5.0,"(4.365, 8.265]",Neutral
9,Redskins D/ST D/ST,Wsh,Ind,5.8,7,GB,6.1,"(4.365, 8.265]",Neutral
10,Bengals D/ST D/ST,Cin,Bal,5.5,7,Car,6.2,"(4.365, 8.265]",Neutral
11,Browns D/ST D/ST,Cle,NO,5.0,9,NYJ,7.4,"(4.365, 8.265]",Neutral
12,Titans D/ST D/ST,Ten,Hou,7.0,4,Jax,5.2,"(4.365, 8.265]",Neutral
13,Eagles D/ST D/ST,Phi,TB,6.4,3,Ind,7.0,"(4.365, 8.265]",Neutral
14,Steelers D/ST D/ST,Pit,KC,6.4,-1,TB,5.5,"(4.365, 8.265]",Neutral
15,Lions D/ST D/ST,Det,SF,5.6,5,NE,1.5,"(1.0, 2.932]",Awesome
16,Packers D/ST D/ST,GB,Min,5.7,6,Wsh,4.5,"(4.365, 8.265]",Neutral
17,Falcons D/ST D/ST,Atl,Car,6.4,1,NO,4.1,"(2.932, 4.365]",Good
18,Cowboys D/ST D/ST,Dal,NYG,6.5,13,Sea,6.5,"(4.365, 8.265]",Neutral
19,Patriots D/ST D/ST,NE,Jax,4.8,-2,Det,5.1,"(4.365, 8.265]",Neutral
20,Texans D/ST D/ST,Hou,Ten,7.2,3,NYG,7.8,"(4.365, 8.265]",Neutral
21,Colts D/ST D/ST,Ind,Wsh,2.9,8,Phi,4.0,"(2.932, 4.365]",Good
22,49ers D/ST D/ST,SF,Det,4.9,1,KC,4.6,"(4.365, 8.265]",Neutral
23,Chiefs D/ST D/ST,KC,Pit,3.4,-7,SF,6.2,"(4.365, 8.265]",Neutral
24,Giants D/ST D/ST,NYG,Dal,5.8,2,Hou,5.4,"(4.365, 8.265]",Neutral
25,Buccaneers D/ST D/ST,TB,Phi,5.1,4,Pit,3.6,"(2.932, 4.365]",Good
26,Cardinals D/ST D/ST,Ari,LAR,5.4,0,Chi,7.0,"(4.365, 8.265]",Neutral
27,Seahawks D/ST D/ST,Sea,Chi,6.0,8,Dal,4.7,"(4.365, 8.265]",Neutral
28,Raiders D/ST D/ST,Oak,Den,4.9,2,Mia,5.0,"(4.365, 8.265]",Neutral
29,Bills D/ST D/ST,Buf,LAC,4.5,1,Min,5.0,"(4.365, 8.265]",Neutral
30,Chargers D/ST D/ST,LAC,Buf,9.9,11,LAR,4.2,"(2.932, 4.365]",Good
31,Saints D/ST D/ST,NO,Cle,6.2,5,Atl,4.3,"(2.932, 4.365]",Good
