team,over_under,team_abbr
Cleveland Browns,49,Cle
New Orleans Saints,49,NO
Indianapolis Colts,48.5,Ind
Washington Redskins,48.5,Wsh
Minnesota Vikings,46.5,Min
Green Bay Packers,46.5,GB
Los Angeles Chargers,43,LAC
Buffalo Bills,43,Buf
Kansas City Chiefs,53.5,KC
Pittsburgh Steelers,53.5,Pit
Houston Texans,43.5,Hou
Tennessee Titans,43.5,Ten
Philadelphia Eagles,44,Phi
Tampa Bay Buccaneers,44,TB
Carolina Panthers,44.5,Car
Atlanta Falcons,44.5,Atl
Miami Dolphins,43,Mia
New York Jets,43,NYJ
Arizona Cardinals,44.5,Ari
Los Angeles Rams,44.5,LAR
Detroit Lions,48.5,Det
San Francisco 49ers,48.5,SF
New England Patriots,45.5,NE
Jacksonville Jaguars,45.5,Jac
Oakland Raiders,45.5,Oak
Denver Broncos,45.5,Den
New York Giants,42.5,NYG
Dallas Cowboys,42.5,Dal
Seattle Seahawks,43,Sea
Chicago Bears,43,Chi
Cincinnati Bengals,44,Cin
Baltimore Ravens,44,Bal
